Age,Gender,MaritalStatus,Attrition,BusinessTravel,Department,JobRole,EducationField,DistanceFromHome,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,DailyRate,MonthlyRate,MonthlyIncome,JobInvolvement,JobLevel,NumCompaniesWorked,PerformanceRating
41,Female,Single,Yes,Travel_Rarely,Sales,"Sales Executive","Life Sciences",1,1,2,94,1102,19479,5993,3,2,8,3
49,Male,Married,No,Travel_Frequently,"Research & Development","Research Scientist","Life Sciences",8,2,3,61,279,24907,5130,2,2,1,4
37,Male,Single,Yes,Travel_Rarely,"Research & Development","Laboratory Technician",Other,2,4,4,92,1373,2396,2090,2,1,6,3
33,Female,Married,No,Travel_Frequently,"Research & Development","Research Scientist","Life Sciences",3,5,4,56,1392,23159,2909,3,1,1,3
27,Male,Married,No,Travel_Rarely,"Research & Development","Laboratory Technician",Medical,2,7,1,40,591,16632,3468,3,1,9,3
32,Male,Single,No,Travel_Frequently,"Research & Development","Laboratory Technician","Life Sciences",2,8,4,79,1005,11864,3068,3,1,0,3
59,Female,Married,No,Travel_Rarely,"Research & Development","Laboratory Technician",Medical,3,10,3,81,1324,9964,2670,4,1,4,4
30,Male,Divorced,No,Travel_Rarely,"Research & Development","Laboratory Technician","Life Sciences",24,11,4,67,1358,13335,2693,3,1,1,4
38,Male,Single,No,Travel_Frequently,"Research & Development","Manufacturing Director","Life Sciences",23,12,4,44,216,8787,9526,2,3,0,4
36,Male,Married,No,Travel_Rarely,"Research & Development","Healthcare Representative",Medical,27,13,3,94,1299,16577,5237,3,2,6,3
35,Male,Married,No,Travel_Rarely,"Research & Development","Laboratory Technician",Medical,16,14,1,84,809,16479,2426,4,1,0,3
29,Female,Single,No,Travel_Rarely,"Research & Development","Laboratory Technician","Life Sciences",15,15,4,49,153,12682,4193,2,2,0,3
31,Male,Divorced,No,Travel_Rarely,"Research & Development","Research Scientist","Life Sciences",26,16,1,31,670,15170,2911,3,1,1,3
34,Male,Divorced,No,Travel_Rarely,"Research & Development","Laboratory Technician",Medical,19,18,2,93,1346,8758,2661,3,1,0,3
28,Male,Single,Yes,Travel_Rarely,"Research & Development","Laboratory Technician","Life Sciences",24,19,3,50,103,12947,2028,2,1,5,3
29,Female,Divorced,No,Travel_Rarely,"Research & Development","Manufacturing Director","Life Sciences",21,20,2,51,1389,10195,9980,4,3,1,3
32,Male,Divorced,No,Travel_Rarely,"Research & Development","Research Scientist","Life Sciences",5,21,1,80,334,15053,3298,4,1,0,3
22,Male,Divorced,No,Non-Travel,"Research & Development","Laboratory Technician",Medical,16,22,4,96,1123,7324,2935,4,1,1,3
53,Female,Married,No,Travel_Rarely,Sales,Manager,"Life Sciences",2,23,1,78,1219,22021,15427,2,4,2,3
38,Male,Single,No,Travel_Rarely,"Research & Development","Research Scientist","Life Sciences",2,24,4,45,371,4306,3944,3,1,5,3
24,Female,Divorced,No,Non-Travel,"Research & Development","Manufacturing Director",Other,11,26,1,96,673,8232,4011,4,2,0,3
36,Male,Single,Yes,Travel_Rarely,Sales,"Sales Representative","Life Sciences",9,27,3,82,1218,6986,3407,2,1,7,4
34,Female,Single,No,Travel_Rarely,"Research & Development","Research Director","Life Sciences",7,28,1,53,419,21293,11994,3,3,0,3
21,Male,Single,No,Travel_Rarely,"Research & Development","Research Scientist","Life Sciences",15,30,3,96,391,19281,1232,3,1,1,3
34,Male,Single,Yes,Travel_Rarely,"Research & Development","Research Scientist",Medical,6,31,2,83,699,17102,2960,3,1,2,3
53,Female,Divorced,No,Travel_Rarely,"Research & Development",Manager,Other,5,32,3,58,1282,10735,19094,3,5,4,3
32,Female,Single,Yes,Travel_Frequently,"Research & Development","Research Scientist","Life Sciences",16,33,2,72,1125,4681,3919,1,1,1,4
42,Male,Married,No,Travel_Rarely,Sales,"Sales Executive",Marketing,8,35,3,48,691,21173,6825,3,2,0,3
44,Female,Married,No,Travel_Rarely,"Research & Development","Healthcare Representative",Medical,7,36,1,42,477,2094,10248,2,3,3,3
46,Female,Single,No,Travel_Rarely,Sales,Manager,Marketing,2,38,2,83,705,22822,18947,3,5,3,3
33,Male,Single,No,Travel_Rarely,"Research & Development","Laboratory Technician",Medical,2,39,3,78,924,6670,2496,3,1,4,3
44,Male,Married,No,Travel_Rarely,"Research & Development","Healthcare Representative",Other,10,40,4,41,1459,19121,6465,3,2,2,3
30,Male,Single,No,Travel_Rarely,"Research & Development","Laboratory Technician",Medical,9,41,4,83,125,16117,2206,2,1,1,3
39,Male,Married,Yes,Travel_Rarely,Sales,"Sales Representative","Technical Degree",5,42,4,56,895,3335,2086,3,2,3,3
24,Male,Married,Yes,Travel_Rarely,"Research & Development","Research Scientist",Medical,1,45,2,61,813,3020,2293,3,1,2,3
43,Female,Divorced,No,Travel_Rarely,"Research & Development","Research Scientist",Medical,2,46,4,72,1273,21923,2645,4,1,1,3
50,Male,Married,Yes,Travel_Rarely,Sales,"Sales Representative",Marketing,3,47,1,86,869,3810,2683,2,1,1,3
35,Female,Married,No,Travel_Rarely,Sales,"Sales Representative",Marketing,2,49,4,97,890,9687,2014,3,1,1,3
36,Female,Married,No,Travel_Rarely,"Research & Development","Research Scientist","Life Sciences",5,51,2,82,852,13072,3419,2,1,9,3
33,Female,Married,No,Travel_Frequently,Sales,"Sales Executive","Life Sciences",1,52,3,42,1141,3193,5376,4,2,2,3
35,Male,Divorced,No,Travel_Rarely,"Research & Development","Laboratory Technician",Other,4,53,3,75,464,10910,1951,3,1,1,3
27,Female,Divorced,No,Travel_Rarely,"Research & Development","Laboratory Technician","Life Sciences",2,54,4,33,1240,19715,2341,3,1,1,3
26,Male,Single,Yes,Travel_Rarely,"Research & Development","Laboratory Technician","Life Sciences",25,55,1,48,1357,10558,2293,1,1,1,3
27,Male,Single,No,Travel_Frequently,Sales,"Sales Executive","Life Sciences",8,56,4,37,994,2975,8726,3,3,1,3
30,Female,Single,No,Travel_Frequently,"Research & Development","Laboratory Technician",Medical,1,57,3,58,721,10781,4011,3,2,1,4
41,Female,Married,Yes,Travel_Rarely,"Research & Development","Research Director","Technical Degree",12,58,2,49,1360,16280,19545,3,5,1,3
34,Male,Single,No,Non-Travel,Sales,"Sales Executive",Marketing,23,60,2,72,1065,10034,4568,3,2,0,4
37,Male,Married,No,Travel_Rarely,"Research & Development","Research Scientist","Life Sciences",19,61,2,73,408,10227,3022,3,1,4,4
46,Male,Single,No,Travel_Frequently,Sales,"Sales Executive",Marketing,5,62,1,98,1211,20445,5772,3,2,4,4
35,Male,Married,No,Travel_Rarely,"Research & Development","Laboratory Technician","Life Sciences",8,63,4,36,1229,4892,2269,4,1,1,3
48,Male,Single,Yes,Travel_Rarely,"Research & Development","Laboratory Technician","Life Sciences",1,64,1,98,626,19294,5381,2,3,9,3
28,Male,Single,Yes,Travel_Rarely,"Research & Development","Laboratory Technician","Technical Degree",5,65,3,50,1434,11179,3441,3,1,1,3
44,Female,Divorced,No,Travel_Rarely,Sales,"Sales Executive",Marketing,1,68,2,75,1488,4009,5454,3,2,5,4
35,Male,Married,No,Non-Travel,"Research & Development","Healthcare Representative",Medical,11,70,3,79,1097,8302,9884,2,3,2,3
26,Female,Married,No,Travel_Rarely,Sales,"Sales Executive",Marketing,23,72,3,47,1443,21436,4157,2,2,7,3
33,Female,Single,No,Travel_Frequently,"Research & Development","Research Director","Life Sciences",1,73,1,98,515,15146,13458,3,3,1,3
35,Male,Married,No,Travel_Frequently,Sales,"Sales Executive","Life Sciences",18,74,2,71,853,11031,9069,3,3,1,4
35,Female,Married,No,Travel_Rarely,"Research & Development","Laboratory Technician",Medical,23,75,3,30,1142,16002,4014,3,1,3,3
31,Male,Divorced,No,Travel_Rarely,"Research & Development","Laboratory Technician","Life Sciences",7,76,4,48,655,9528,5915,3,2,3,4
37,Male,Divorced,No,Travel_Rarely,"Research & Development","Manufacturing Director","Life Sciences",1,77,1,51,1115,2689,5993,2,2,1,3
32,Male,Married,No,Travel_Rarely,"Research & Development","Manufacturing Director",Medical,1,78,1,33,427,10877,6162,3,2,1,4
38,Female,Single,No,Travel_Frequently,"Research & Development","Laboratory Technician","Life Sciences",29,79,4,50,653,5456,2406,3,2,1,3
50,Female,Divorced,No,Travel_Rarely,"Research & Development","Research Director",Medical,7,80,2,43,989,16701,18740,2,5,5,3
59,Female,Single,No,Travel_Rarely,Sales,"Sales Executive","Life Sciences",25,81,1,99,1435,2354,7637,3,3,7,3
36,Female,Divorced,No,Travel_Rarely,"Research & Development","Healthcare Representative","Technical Degree",8,83,3,59,1223,8202,10096,3,3,1,3
55,Female,Divorced,No,Travel_Rarely,"Research & Development",Manager,Medical,8,84,4,33,836,19730,14756,3,4,2,3
36,Male,Single,No,Travel_Frequently,"Research & Development","Manufacturing Director","Life Sciences",11,85,2,95,1195,22656,6499,2,2,1,3
